ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D51I,D51I.TXT,0.14078,0.55238,0.22437,1
ROUGE-1,D55K,D55K.TXT,0.11364,0.42453,0.17928,1
ROUGE-1,D33F,D33F.TXT,0.14734,0.57547,0.23462,1
ROUGE-1,D49I,D49I.TXT,0.13520,0.44167,0.20703,1
ROUGE-1,D35F,D35F.TXT,0.19118,0.60938,0.29104,1
ROUGE-1,D21D,D21D.TXT,0.24940,0.62651,0.35678,1
ROUGE-1,D47H,D47H.TXT,0.11737,0.58824,0.19569,1
ROUGE-1,D38G,D38G.TXT,0.11779,0.42241,0.18421,1
ROUGE-1,D36F,D36F.TXT,0.20327,0.69600,0.31465,1
ROUGE-1,D10B,D10B.TXT,0.20531,0.52147,0.29463,1
ROUGE-1,D26E,D26E.TXT,0.11980,0.28324,0.16838,1
ROUGE-1,D16C,D16C.TXT,0.12028,0.66234,0.20359,1
ROUGE-1,D02A,D02A.TXT,0.14599,0.45113,0.22059,1
ROUGE-1,D18C,D18C.TXT,0.11463,0.61039,0.19302,1
ROUGE-1,D60K,D60K.TXT,0.23628,0.59639,0.33846,1
ROUGE-1,D52I,D52I.TXT,0.18707,0.58273,0.28322,1
ROUGE-1,D40G,D40G.TXT,0.19268,0.51634,0.28064,1
ROUGE-1,D58K,D58K.TXT,0.19477,0.46067,0.27379,1
ROUGE-1,D42G,D42G.TXT,0.18919,0.55396,0.28205,1
ROUGE-1,D20D,D20D.TXT,0.17986,0.67568,0.28409,1
ROUGE-1,D46H,D46H.TXT,0.18644,0.53846,0.27698,1
ROUGE-1,D48H,D48H.TXT,0.18052,0.51351,0.26714,1
ROUGE-1,D25E,D25E.TXT,0.08506,0.36275,0.13780,1
ROUGE-1,D23D,D23D.TXT,0.10287,0.50000,0.17063,1
ROUGE-1,D01A,D01A.TXT,0.12802,0.60920,0.21158,1
ROUGE-1,D03A,D03A.TXT,0.12895,0.56383,0.20990,1
ROUGE-1,D29E,D29E.TXT,0.24402,0.60000,0.34694,1
ROUGE-1,D17C,D17C.TXT,0.13466,0.42520,0.20455,1
ROUGE-1,D07B,D07B.TXT,0.08434,0.41176,0.14000,1
ROUGE-1,D09B,D09B.TXT,0.19617,0.60294,0.29603,1
